Organization Name,Total PK-12 Pupil Count,Total Minority Count,Percent Minority,Rural Designation,FREE AND REDUCED,% FREE AND REDUCED,Web Link
AGATE 300,5,2,0.4000,Small Rural,,,http://www.agateschools.net/default.htm
AGUILAR REORGANIZED 6,124,77,0.6210,Small Rural,94,0.7581,http://www.aguilarschools.org/
AKRON R-1,378,87,0.2300,Small Rural,189,0.5000,http://akronrams.schoolwires.net/
ALAMOSA RE-11J,2339,1636,0.6990,Rural,1475,0.6306,http://alamosa.k12.co.us/
ARCHULETA COUNTY 50 JT,1568,656,0.4180,Rural,722,0.4605,http://www.pagosa.k12.co.us/
ARICKAREE R-2,97,31,0.3200,Small Rural,46,0.4742,http://www.arickaree.org/pages/Arickaree_School
ARRIBA-FLAGLER C-20,198,25,0.1260,Small Rural,115,0.5808,http://flaglerschools.co.afs.schoolinsites.com/
ASPEN 1,1698,255,0.1500,Rural,80,0.0471,http://www.aspenk12.net/
AULT-HIGHLAND RE-9,853,282,0.3310,Small Rural,401,0.4701,http://www.weldre9.k12.co.us/
BAYFIELD 10 JT-R,1381,307,0.2220,Rural,357,0.2585,http://www.bayfield.k12.co.us/
BENNETT 29J,1089,304,0.2790,Rural,351,0.3223,http://www.bennett29j.k12.co.us/
BETHUNE R-5,110,41,0.3730,Small Rural,87,0.7909,http://bethuneschool.com/Welcome.html
BIG SANDY 100J,306,41,0.1340,Small Rural,119,0.3889,http://bigsandy100j.com/
BRANSON REORGANIZED 82,471,141,0.2990,Small Rural,80,0.1699,http://www.bransonschoolonline.com/
BRIGGSDALE RE-10,181,27,0.1490,Small Rural,57,0.3149,http://www.briggsdaleschool.org/
BRUSH RE-2(J),1543,759,0.4920,Rural,925,0.5995,http://www.brushschools.org/
BUENA VISTA R-31,998,169,0.1690,Small Rural,336,0.3367,http://www.bvschools.org/
BUFFALO RE-4J,306,43,0.1410,Small Rural,107,0.3497,http://merino.k12.co.us/
BURLINGTON RE-6J,775,348,0.4490,Small Rural,452,0.5832,http://www.burlingtonk12.org/
BYERS 32J,3019,1221,0.4040,Rural,1187,0.3932,http://www.byers32j.k12.co.us/
CALHAN RJ-1,442,86,0.1950,Small Rural,216,0.4887,http://www.calhanschool.org/
CAMPO RE-6,39,6,0.1540,Small Rural,,,http://www.campok12.org/
CANON CITY RE-1,3626,719,0.1980,Rural,1832,0.5052,http://www.canoncityschools.org/
CENTENNIAL R-1,215,203,0.9440,Small Rural,165,0.7674,http://www.centennialschool.net/
CENTER 26 JT,635,575,0.9060,Small Rural,593,0.9339,http://www.center.k12.co.us/
CHERAW 31,216,65,0.3010,Small Rural,132,0.6111,http://cheraw.k12.co.us
CHEYENNE COUNTY RE-5,194,25,0.1290,Small Rural,84,0.4330,https://www.cheyennesd.net/
CLEAR CREEK RE-1,858,151,0.1760,Small Rural,231,0.2692,http://www.ccsdre1.org/
COTOPAXI RE-3,200,22,0.1100,Small Rural,101,0.5050,http://www.cotopaxire3.org/
CREEDE SCHOOL DISTRICT,81,8,0.0990,Small Rural,51,0.6296,https://www.creedek12.net/
CRIPPLE CREEK-VICTOR RE-1,374,53,0.1420,Small Rural,263,0.7032,http://www.ccvschools.org
CROWLEY COUNTY RE-1-J,437,251,0.5740,Small Rural,319,0.7300,http://www.cck12.net/
CUSTER COUNTY SCHOOL DISTRICT C-1,373,30,0.0800,Small Rural,181,0.4853,http://www.custercountyschools.org/
DE BEQUE 49JT,190,19,0.1000,Small Rural,83,0.4368,http://www.dbschools.org/
DEER TRAIL 26J,196,56,0.2860,Small Rural,104,0.5306,http://www.dt26j.org/
DEL NORTE C-7,440,252,0.5730,Small Rural,236,0.5364,http://www.dncsd.org/
DELTA COUNTY 50(J),5011,1348,0.2690,Rural,2831,0.5650,http://www.deltaschools.com/
DOLORES COUNTY RE NO.2,273,27,0.0990,Small Rural,155,0.5678,http://www.dc2j.org/
DOLORES RE-4A,733,176,0.2400,Small Rural,275,0.3752,http://doloresschools.org/
DURANGO 9-R,5053,1478,0.2930,Rural,1682,0.3329,http://www.durangoschools.org/
EADS RE-1,192,26,0.1350,Small Rural,67,0.3490,http://www.eadseagles.org/
