Organization Name,Total PK-12 Pupil Count,Total Minority Count,Percent Minority,Rural Designation,FREE AND REDUCED,% FREE AND REDUCED,Web Link,School Week
AGATE 300,5,2,0.4000,Small Rural,,,http://www.agateschools.net/default.htm,4 day
AGUILAR REORGANIZED 6,124,77,0.6210,Small Rural,94,0.7581,http://www.aguilarschools.org/,4 day
AKRON R-1,378,87,0.2300,Small Rural,189,0.5000,http://akronrams.schoolwires.net/,5 day
ALAMOSA RE-11J,2339,1636,0.6990,Rural,1475,0.6306,http://alamosa.k12.co.us/,5 day
ARCHULETA COUNTY 50 JT,1568,656,0.4180,Rural,722,0.4605,http://www.pagosa.k12.co.us/,5 day
ARICKAREE R-2,97,31,0.3200,Small Rural,46,0.4742,http://www.arickaree.org/pages/Arickaree_School,5 day
ARRIBA-FLAGLER C-20,198,25,0.1260,Small Rural,115,0.5808,http://flaglerschools.co.afs.schoolinsites.com/,5 day
ASPEN 1,1698,255,0.1500,Rural,80,0.0471,http://www.aspenk12.net/,5 day
AULT-HIGHLAND RE-9,853,282,0.3310,Small Rural,401,0.4701,http://www.weldre9.k12.co.us/,5 day
BAYFIELD 10 JT-R,1381,307,0.2220,Rural,357,0.2585,http://www.bayfield.k12.co.us/,5 day
BENNETT 29J,1089,304,0.2790,Rural,351,0.3223,http://www.bennett29j.k12.co.us/,4 day
BETHUNE R-5,110,41,0.3730,Small Rural,87,0.7909,http://bethuneschool.com/Welcome.html,5 day
BIG SANDY 100J,306,41,0.1340,Small Rural,119,0.3889,http://bigsandy100j.com/,4 day 
BRANSON REORGANIZED 82,471,141,0.2990,Small Rural,80,0.1699,http://www.bransonschoolonline.com/,4 day
BRIGGSDALE RE-10,181,27,0.1490,Small Rural,57,0.3149,http://www.briggsdaleschool.org/,4 day
BRUSH RE-2(J),1543,759,0.4920,Rural,925,0.5995,http://www.brushschools.org/,5 day
BUENA VISTA R-31,998,169,0.1690,Small Rural,336,0.3367,http://www.bvschools.org/,5 day
BUFFALO RE-4J,306,43,0.1410,Small Rural,107,0.3497,http://merino.k12.co.us/,5 day
BURLINGTON RE-6J,775,348,0.4490,Small Rural,452,0.5832,http://www.burlingtonk12.org/,4 day
BYERS 32J,3019,1221,0.4040,Rural,1187,0.3932,http://www.byers32j.k12.co.us/,5 day
CALHAN RJ-1,442,86,0.1950,Small Rural,216,0.4887,http://www.calhanschool.org/,4 day
CAMPO RE-6,39,6,0.1540,Small Rural,,,http://www.campok12.org/,4 day
CANON CITY RE-1,3626,719,0.1980,Rural,1832,0.5052,http://www.canoncityschools.org/,4 day
CENTENNIAL R-1,215,203,0.9440,Small Rural,165,0.7674,http://www.centennialschool.net/,4 day
