County,Organization Name,Total PK-12 Pupil Count,Total Minority Count,Percent Minority
ADAMS,MAPLETON 1,8822,6200,0.70
ADAMS,ADAMS 12 FIVE STAR SCHOOLS,38818,19306,0.50
ADAMS,ADAMS COUNTY 14,7467,6596,0.88
ADAMS,SCHOOL DISTRICT 27J,17115,9121,0.53
ADAMS,BENNETT 29J,1089,304,0.28
ADAMS,STRASBURG 31J,972,196,0.20
ADAMS,WESTMINSTER PUBLIC SCHOOLS,9638,8169,0.85
ALAMOSA,ALAMOSA RE-11J,2339,1636,0.70
ALAMOSA,SANGRE DE CRISTO RE-22J,297,95,0.32
ARAPAHOE,ENGLEWOOD 1,2775,1394,0.50
ARAPAHOE,SHERIDAN 2,1511,1313,0.87
ARAPAHOE,CHERRY CREEK 5,54815,25612,0.47
ARAPAHOE,LITTLETON 6,15517,4129,0.27
ARAPAHOE,DEER TRAIL 26J,196,56,0.29
ARAPAHOE,ADAMS-ARAPAHOE 28J,41797,34595,0.83
ARAPAHOE,BYERS 32J,3019,1221,0.40
ARCHULETA,ARCHULETA COUNTY 50 JT,1568,656,0.42
BACA,WALSH RE-1,167,37,0.22
BACA,PRITCHETT RE-3,45,5,0.11
BACA,SPRINGFIELD RE-4,322,79,0.25
BACA,VILAS RE-5,42,11,0.26
BACA,CAMPO RE-6,39,6,0.15
BENT,LAS ANIMAS RE-1,1175,636,0.54
BENT,MC CLAVE RE-2,272,6,0.02
BOULDER,ST VRAIN VALLEY RE 1J,32171,11719,0.36
BOULDER,BOULDER VALLEY RE 2,31189,9645,0.31
CHAFFEE,BUENA VISTA R-31,998,169,0.17
CHAFFEE,SALIDA R-32,1229,238,0.19
CHEYENNE,KIT CARSON R-1,126,28,0.22
CHEYENNE,CHEYENNE COUNTY RE-5,194,25,0.13
CLEAR CREEK,CLEAR CREEK RE-1,858,151,0.18
CONEJOS,NORTH CONEJOS RE-1J,963,548,0.57
CONEJOS,SANFORD 6J,393,129,0.33
CONEJOS,SOUTH CONEJOS RE-10,212,197,0.93
COSTILLA,CENTENNIAL R-1,215,203,0.94
COSTILLA,SIERRA GRANDE R-30,267,212,0.79
CROWLEY,CROWLEY COUNTY RE-1-J,437,251,0.57
CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,373,30,0.08
DELTA,DELTA COUNTY 50(J),5011,1348,0.27
DENVER,DENVER COUNTY 1,91132,69883,0.77
DOLORES,DOLORES COUNTY RE NO.2,273,27,0.10
DOUGLAS,DOUGLAS COUNTY RE 1,67470,17341,0.26
EAGLE,EAGLE COUNTY RE 50,6901,3829,0.56
ELBERT,ELIZABETH C-1,2535,353,0.14
ELBERT,KIOWA C-2,277,48,0.17
ELBERT,BIG SANDY 100J,306,41,0.13
ELBERT,ELBERT 200,213,22,0.10
ELBERT,AGATE 300,5,2,0.40
EL PASO,CALHAN RJ-1,442,86,0.20
EL PASO,HARRISON 2,11746,8798,0.75
EL PASO,WIDEFIELD 3,9634,4886,0.51
EL PASO,FOUNTAIN 8,8185,4322,0.53
EL PASO,COLORADO SPRINGS 11,27911,13485,0.48
EL PASO,CHEYENNE MOUNTAIN 12,5224,1520,0.29
EL PASO,MANITOU SPRINGS 14,1488,238,0.16
